SOSR_CODE_2021,A75_84_L_PinE_NS_19,A75_84_L_PinE_NS_20,A75_84_L_PinE_NS_21,A75_84_L_PinE_NS_YNS,A75_84_L_PinE_NS_T,A75_84_T_B_05,A75_84_T_05_10,A75_84_T_11_15,A75_84_T_16,A75_84_T_17,A75_84_T_18,A75_84_T_19,A75_84_T_20,A75_84_T_21,A75_84_T_YNS,A75_84_T_T,A85ov_SEO_B_05,A85ov_SEO_05_10,A85ov_SEO_11_15,A85ov_SEO_16,A85ov_SEO_17,A85ov_SEO_18,A85ov_SEO_19,A85ov_SEO_20,A85ov_SEO_21,A85ov_SEO_YNS,A85ov_SEO_T,A85ov_UOLSE_VWW_B_05,A85ov_UOLSE_VWW_05_10,A85ov_UOLSE_VWW_11_15,A85ov_UOLSE_VWW_16,A85ov_UOLSE_VWW_17,A85ov_UOLSE_VWW_18,A85ov_UOLSE_VWW_19,A85ov_UOLSE_VWW_20,A85ov_UOLSE_VWW_21,A85ov_UOLSE_VWW_YNS,A85ov_UOLSE_VWW_T,A85ov_UOLSE_NWNAA_B_05,A85ov_UOLSE_NWNAA_05_10,A85ov_UOLSE_NWNAA_11_15,A85ov_UOLSE_NWNAA_16,A85ov_UOLSE_NWNAA_17,A85ov_UOLSE_NWNAA_18,A85ov_UOLSE_NWNAA_19,A85ov_UOLSE_NWNAA_20,A85ov_UOLSE_NWNAA_21,A85ov_UOLSE_NWNAA_YNS,A85ov_UOLSE_NWNAA_T,A85ov_UOLSE_PinE_NS_B_05,A85ov_UOLSE_PinE_NS_05_10,A85ov_UOLSE_PinE_NS_11_15,A85ov_UOLSE_PinE_NS_16,A85ov_UOLSE_PinE_NS_17,A85ov_UOLSE_PinE_NS_18,A85ov_UOLSE_PinE_NS_19,A85ov_UOLSE_PinE_NS_20,A85ov_UOLSE_PinE_NS_21,A85ov_UOLSE_PinE_NS_YNS,A85ov_UOLSE_PinE_NS_T,A85ov_UOLSE_T_B_05,A85ov_UOLSE_T_05_10,A85ov_UOLSE_T_11_15,A85ov_UOLSE_T_16,A85ov_UOLSE_T_17,A85ov_UOLSE_T_18,A85ov_UOLSE_T_19,A85ov_UOLSE_T_20,A85ov_UOLSE_T_21,A85ov_UOLSE_T_YNS,A85ov_UOLSE_T_T,A85ov_L_PinE_NS_B_05,A85ov_L_PinE_NS_05_10,A85ov_L_PinE_NS_11_15,A85ov_L_PinE_NS_16,A85ov_L_PinE_NS_17,A85ov_L_PinE_NS_18,A85ov_L_PinE_NS_19,A85ov_L_PinE_NS_20,A85ov_L_PinE_NS_21,A85ov_L_PinE_NS_YNS,A85ov_L_PinE_NS_T,A85ov_T_B_05,A85ov_T_05_10,A85ov_T_11_15,A85ov_T_16,A85ov_T_17,A85ov_T_18,A85ov_T_19,A85ov_T_20,A85ov_T_21,A85ov_T_YNS,A85ov_T_T,T_SEO_B_05,T_SEO_05_10,T_SEO_11_15,T_SEO_16,T_SEO_17,T_SEO_18,T_SEO_19,T_SEO_20,T_SEO_21,T_SEO_YNS,T_SEO_T,T_UOLSE_VWW_B_05,T_UOLSE_VWW_05_10,T_UOLSE_VWW_11_15,T_UOLSE_VWW_16,T_UOLSE_VWW_17,T_UOLSE_VWW_18,T_UOLSE_VWW_19,T_UOLSE_VWW_20,T_UOLSE_VWW_21,T_UOLSE_VWW_YNS,T_UOLSE_VWW_T,T_UOLSE_NWNAA_B_05,T_UOLSE_NWNAA_05_10,T_UOLSE_NWNAA_11_15,T_UOLSE_NWNAA_16,T_UOLSE_NWNAA_17,T_UOLSE_NWNAA_18,T_UOLSE_NWNAA_19,T_UOLSE_NWNAA_20,T_UOLSE_NWNAA_21,T_UOLSE_NWNAA_YNS,T_UOLSE_NWNAA_T,T_UOLSE_PinE_NS_B_05,T_UOLSE_PinE_NS_05_10,T_UOLSE_PinE_NS_11_15,T_UOLSE_PinE_NS_16,T_UOLSE_PinE_NS_17,T_UOLSE_PinE_NS_18,T_UOLSE_PinE_NS_19,T_UOLSE_PinE_NS_20,T_UOLSE_PinE_NS_21,T_UOLSE_PinE_NS_YNS,T_UOLSE_PinE_NS_T,T_UOLSE_T_B_05,T_UOLSE_T_05_10,T_UOLSE_T_11_15,T_UOLSE_T_16,T_UOLSE_T_17,T_UOLSE_T_18,T_UOLSE_T_19,T_UOLSE_T_20,T_UOLSE_T_21,T_UOLSE_T_YNS,T_UOLSE_T_T,T_L_PinE_NS_B_05,T_L_PinE_NS_05_10,T_L_PinE_NS_11_15,T_L_PinE_NS_16,T_L_PinE_NS_17,T_L_PinE_NS_18,T_L_PinE_NS_19,T_L_PinE_NS_20,T_L_PinE_NS_21,T_L_PinE_NS_YNS,T_L_PinE_NS_T,T_T_B_05,T_T_05_10,T_T_11_15,T_T_16,T_T_17,T_T_18,T_T_19,T_T_20,T_T_21,T_T_YNS,T_T_T
SOSR531,0,0,0,9,22,2287,50,28,9,6,3,8,5,0,107,2499,358,4,9,0,0,5,0,4,0,17,397,75,0,0,0,0,0,0,0,0,0,78,26,0,0,0,0,0,0,0,0,5,30,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,4,110,3,0,0,0,0,0,0,0,0,0,7,475,4,7,0,0,5,0,4,0,27,509,16977,2666,1555,191,130,194,277,105,60,799,22953,1895,1139,951,140,166,226,411,133,98,162,5327,214,45,71,8,21,51,68,32,17,24,543,8,3,0,0,0,0,3,0,9,13,44,2121,1189,1023,151,186,274,485,168,117,203,5919,55,11,3,0,0,0,5,6,0,799,878,19156,3867,2582,344,325,471,766,273,179,1804,29754
SOSR579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,24,14,0,0,5,4,0,0,0,84,18,8,5,0,0,3,3,6,0,19,59,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,17,13,5,0,0,3,3,6,0,19,59,0,0,0,0,0,0,0,0,0,0,3,48,36,20,0,5,6,8,3,0,16,148
SOSR599,0,0,0,11,13,37,0,5,0,0,0,0,0,0,14,49,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,485,82,71,18,11,27,60,35,39,39,855,51,47,31,10,17,27,94,42,33,9,364,10,0,4,0,0,3,6,4,12,6,40,0,0,0,0,0,0,0,0,0,0,3,60,45,38,8,17,26,103,42,47,9,405,0,0,0,0,0,0,0,0,4,164,174,543,130,110,28,22,56,166,79,92,210,1431
SOSR603,0,0,0,11,22,2674,35,23,7,0,9,6,4,5,104,2869,801,14,5,0,0,0,0,0,0,74,895,218,0,0,0,0,0,0,0,0,14,234,71,4,3,0,0,0,0,0,0,6,92,5,0,0,0,0,0,0,0,0,6,12,299,4,3,0,0,0,0,0,0,27,334,8,0,0,0,0,0,0,0,0,9,12,1103,19,14,0,0,0,0,0,0,103,1239,11281,1490,1325,329,272,328,309,142,68,440,15986,3193,2872,6953,2531,2419,2163,1791,600,77,371,22978,389,197,495,170,184,176,273,104,23,42,2052,20,7,9,3,5,6,10,0,0,12,79,3603,3077,7457,2707,2602,2347,2080,704,103,427,25109,28,0,6,6,3,0,6,3,0,84,138,14913,4568,8786,3046,2874,2671,2385,855,175,950,41226
SOSR611,0,0,0,3,4,977,16,25,4,0,3,0,3,0,47,1078,278,0,5,0,0,0,0,0,0,23,306,63,0,0,0,0,0,0,0,0,0,72,15,0,8,0,4,0,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,79,0,8,0,4,0,0,0,0,5,96,3,0,0,0,0,0,0,0,0,0,3,362,0,6,5,4,0,0,0,0,30,404,4174,488,407,69,98,95,83,54,9,164,5641,845,833,1735,728,740,688,599,220,50,80,6508,64,95,296,116,93,82,129,68,10,29,975,0,0,0,5,0,9,16,0,4,4,43,909,934,2037,848,826,772,747,288,60,110,7530,12,3,0,4,4,0,0,0,0,15,36,5092,1422,2442,915,931,871,832,344,66,290,13206
SOSR612,0,0,0,3,9,543,4,10,0,0,0,4,0,0,33,591,136,0,0,0,0,0,4,0,0,12,149,25,0,0,0,0,0,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,163,0,0,0,0,0,4,0,0,15,180,2219,169,119,26,24,53,39,19,10,111,2789,358,213,393,150,192,183,213,61,35,49,1849,20,17,22,12,13,22,31,9,16,8,165,0,0,0,0,0,0,7,0,0,0,6,378,230,415,160,210,205,254,75,48,56,2020,6,0,0,0,0,0,0,0,0,3,10,2597,398,535,187,230,259,285,95,52,172,4818
SOSR613,0,0,0,0,0,240,0,6,0,0,0,0,0,0,7,247,67,0,0,0,0,0,0,0,0,8,72,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,8,83,743,32,38,9,12,5,12,0,0,26,885,78,24,51,21,22,22,19,0,0,8,240,7,0,3,0,5,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,86,20,58,23,19,22,23,0,0,10,260,0,0,0,0,0,0,0,0,0,0,0,832,56,96,31,36,20,30,5,0,35,1148
SOSR614,0,0,0,0,0,239,3,3,4,0,0,0,0,0,14,263,65,0,0,0,0,0,0,0,0,10,71,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,10,78,931,84,55,18,3,10,10,9,0,42,1159,98,29,55,25,14,16,11,0,5,4,266,3,5,3,0,0,0,0,0,3,0,18,0,0,0,0,0,0,0,0,0,0,0,105,34,59,27,14,16,16,0,5,4,280,0,0,0,0,0,0,0,0,0,0,3,1038,118,115,47,21,28,22,9,6,53,1444
SOSR615,0,0,0,0,9,1112,15,5,0,0,3,5,0,0,66,1211,331,4,0,0,0,0,0,0,0,14,350,28,0,0,0,0,0,0,0,0,8,38,10,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,8,46,0,0,0,0,0,0,0,0,0,0,4,363,4,0,0,0,0,0,0,0,30,400,4369,380,257,57,52,47,71,24,7,212,5477,445,241,399,125,162,148,125,42,18,52,1765,21,12,14,4,4,13,18,10,6,0,118,6,0,0,0,0,0,0,0,0,5,11,468,250,417,132,168,168,146,53,25,57,1888,5,0,0,0,0,0,0,0,0,6,21,4846,634,670,191,222,214,220,84,28,272,7382
SOSR621,0,0,0,0,0,338,3,0,0,0,0,0,0,0,13,357,72,0,0,0,0,0,0,0,0,11,78,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,11,84,1642,165,83,31,17,9,15,10,4,88,2067,167,71,122,51,51,44,31,8,5,12,559,5,3,3,4,3,3,0,3,0,3,26,0,0,0,0,0,0,0,4,0,0,6,174,73,122,56,48,45,38,14,8,14,590,6,0,0,0,0,0,0,0,0,0,3,1827,238,211,84,66,55,50,21,11,105,2667
SOSR622,0,0,0,0,0,147,6,0,0,0,0,0,0,0,7,164,35,0,0,0,0,0,0,0,0,3,39,5,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,5,45,766,47,31,4,0,9,14,0,0,47,918,70,32,25,9,7,5,15,4,0,8,177,6,0,3,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,4,74,35,29,9,7,7,14,4,0,11,188,0,0,0,0,0,0,0,0,0,0,0,839,85,59,12,6,13,29,4,0,58,1112
SOSR631,0,0,0,0,3,1291,16,5,0,0,0,0,0,3,58,1376,209,0,0,3,0,0,0,0,0,3,221,20,0,0,0,0,0,0,0,0,0,23,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,235,0,3,3,0,0,0,0,0,9,254,7857,880,482,100,74,101,112,57,18,364,10047,826,324,406,119,133,138,159,84,12,44,2247,29,20,25,7,10,9,30,26,0,7,170,8,0,0,0,0,0,0,0,0,7,15,862,350,431,129,142,140,192,112,12,58,2438,14,0,0,0,0,0,0,0,0,7,21,8735,1229,921,226,214,244,306,171,35,436,12503
SOSR679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,6
SOSR699,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,6,4,4,0,0,0,0,0,4,92,10,5,4,0,5,7,11,0,0,0,49,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,5,11,0,9,8,10,0,0,4,57,0,0,0,0,0,0,0,0,0,13,14,87,15,11,5,9,8,9,0,0,18,161
SOSR703,0,0,0,8,16,1210,25,11,0,3,5,10,11,0,72,1344,134,0,0,0,0,0,0,0,0,22,155,90,0,0,0,0,0,0,0,0,8,102,68,0,0,0,0,0,0,0,0,4,74,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,15,181,0,0,0,0,0,0,0,0,0,9,9,291,0,0,0,0,0,0,0,0,40,340,6528,1706,1855,362,319,322,427,173,68,325,12083,4411,4161,5694,1783,1800,1637,1627,523,76,367,22080,841,318,318,79,70,102,215,129,17,83,2173,15,11,3,0,0,3,7,9,0,10,60,5264,4495,6020,1858,1875,1740,1852,652,94,455,24313,14,4,15,5,6,7,3,3,0,111,172,11808,6202,7885,2226,2198,2070,2283,831,164,895,36574
SOSR712,0,0,0,0,0,143,5,7,0,0,0,3,0,0,12,167,30,0,0,0,0,0,0,0,0,0,33,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,1341,352,495,101,97,153,184,135,118,76,3051,563,806,735,275,246,254,280,97,61,64,3385,27,26,45,6,11,10,51,11,7,9,212,0,0,0,0,0,0,4,0,0,0,18,598,837,779,288,259,265,340,110,72,76,3614,0,0,4,0,0,0,0,0,0,6,15,1938,1190,1279,388,355,416,524,246,184,159,6676
SOSR714,0,0,0,0,0,14,0,5,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,208,38,59,12,4,10,17,9,0,21,385,72,114,225,76,62,52,48,21,0,26,693,3,3,8,5,9,0,0,0,0,0,31,0,0,3,0,0,0,0,0,0,0,3,76,122,228,78,67,55,45,20,0,25,728,0,0,0,0,0,0,0,0,0,3,4,286,166,287,92,71,68,62,31,9,50,1115
SOSR715,0,0,0,0,0,23,0,0,0,0,0,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,304,85,89,13,21,24,20,7,5,25,585,123,102,122,38,22,51,50,15,3,21,547,5,14,0,0,4,3,3,0,0,0,29,0,0,0,0,0,0,5,0,0,4,4,122,116,121,38,25,57,63,15,3,26,589,0,0,0,0,0,0,0,0,0,0,5,433,195,214,53,51,76,78,25,7,48,1175
SOSR721,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,16,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,246,62,45,14,13,20,16,4,0,14,438,62,54,82,35,23,26,28,18,0,9,337,0,0,9,7,0,0,6,0,0,0,23,0,0,0,0,0,0,0,0,0,3,5,66,53,87,39,23,26,32,24,0,15,362,0,0,0,0,0,0,3,0,0,0,3,309,114,129,50,32,45,50,30,4,31,797
SOSR722,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,189,36,27,12,3,4,9,13,0,16,312,41,35,37,11,8,13,13,5,0,3,155,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,40,35,37,11,8,15,15,8,0,7,164,0,0,0,0,0,0,0,0,0,4,4,227,67,64,21,8,22,26,18,0,21,481
SOSR731,0,0,0,0,0,205,3,0,0,0,0,0,0,0,14,226,17,0,0,0,0,0,0,0,0,4,25,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,4,29,0,0,0,0,0,0,0,0,3,31,1573,230,188,30,25,35,53,28,16,122,2286,279,137,143,37,28,44,91,54,9,40,870,94,26,25,4,6,6,19,15,0,12,206,0,0,0,0,0,0,0,0,0,0,4,380,166,166,40,33,48,117,67,13,51,1082,4,0,0,0,0,0,3,0,0,23,34,1955,393,352,69,54,81,171,98,25,195,3405
SOSR779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,9,4,6,0,0,0,0,0,0,4,22
SOSR799,0,0,0,0,0,6,0,4,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,40,30,3,5,5,35,14,14,11,303,29,15,7,5,9,16,46,30,13,5,160,0,0,0,0,0,0,4,5,4,0,16,0,0,0,0,0,0,0,3,0,0,3,33,16,7,5,8,16,47,33,13,7,182,0,0,0,0,0,0,0,0,0,3,11,174,52,39,7,13,25,83,52,30,22,492
SOSR802,0,0,0,13,33,6921,149,122,23,28,31,67,25,6,195,7559,1363,8,5,4,4,0,0,0,0,87,1473,737,13,5,0,0,0,3,0,0,39,798,437,20,6,0,0,3,8,0,0,31,500,0,0,0,0,0,0,0,0,0,4,9,1176,28,13,0,0,3,10,0,0,79,1308,9,0,0,0,0,0,0,0,0,27,41,2554,38,13,6,4,3,7,3,0,193,2822,31408,4714,4397,802,770,805,819,546,270,917,45446,24290,14137,16225,4291,5208,4956,3966,1671,373,1022,76152,2725,1154,1424,347,487,524,882,371,89,311,8304,41,19,27,7,8,6,12,9,5,29,171,27056,15303,17675,4643,5708,5491,4862,2057,470,1360,84623,56,11,15,11,8,6,6,9,0,195,320,58520,20035,22087,5457,6487,6309,5690,2606,738,2471,130394
SOSR822,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,39,6,0,0,0,0,0,0,0,0,47,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,47,3,0,0,0,0,0,0,0,0,62
SOSR831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,7,4,0,0,0,4,0,4,0,57,4,6,0,0,0,0,7,0,8,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,7,0,7,0,24,0,0,0,0,0,0,0,0,0,0,0,38,14,3,0,0,0,11,0,10,0,85
SOSR879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOSR899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,3,15,0,0,0,5,0,5,0,58,14,9,4,0,0,3,8,0,3,3,50,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,8,4,6,0,6,8,3,3,3,50,0,0,0,0,0,0,0,0,0,3,3,45,15,18,6,0,3,9,3,5,13,121
SOSR915,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,64,14,3,0,0,0,0,0,0,8,82,129,33,28,14,3,3,0,3,0,14,227,92,6,5,0,0,5,0,0,0,3,121,0,0,0,0,0,0,0,0,0,0,0,223,40,40,8,8,6,0,3,0,15,349,0,0,0,0,0,0,0,0,0,0,0,285,47,39,13,3,6,4,3,0,17,431
SOSR921,0,0,0,0,4,40,0,0,0,0,0,0,0,0,5,44,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,169,18,31,7,5,9,6,7,7,23,281,74,25,32,9,3,0,0,0,0,27,179,0,0,3,0,0,0,0,0,3,3,8,0,0,0,0,0,0,0,0,0,0,0,75,25,33,9,3,0,3,0,3,28,190,4,0,0,0,0,0,0,0,0,0,4,242,41,68,23,11,3,8,11,8,54,469
SOSR922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,24,10,0,5,0,0,3,0,0,0,10,25,3,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,20,6,5,0,0,3,0,0,0,10,38,0,0,0,0,0,0,0,0,0,0,0,34,7,5,0,0,3,0,0,0,10,65
SOSR931,0,0,0,0,0,22,0,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,7,15,0,0,0,0,4,0,9,93,43,3,12,0,0,0,0,0,0,6,68,39,4,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,81,10,12,0,0,0,0,0,0,6,117,0,3,0,0,0,0,0,0,0,209,207,147,18,17,4,0,0,3,10,0,226,420
